Country,Rank,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8
Denmark,0.9,0.94,0.95,0.85,0.91,0.93,0.89,0.86,0.84
Norway,0.89,0.92,0.93,0.88,0.9,0.93,0.88,0.86,0.82
Finland,0.87,0.92,0.9,0.84,0.9,0.92,0.85,0.8,0.84
Sweden,0.85,0.85,0.91,0.83,0.87,0.93,0.83,0.83,0.78
Germany,0.83,0.86,0.83,0.79,0.86,0.88,0.84,0.82,0.79
Luxembourg,0.83,0.82,0.85,0.81,0.85,0.95,0.85,0.77,0.73
New Zealand,0.83,0.86,0.89,0.82,0.84,0.89,0.85,0.79,0.74
Estonia,0.82,0.83,0.83,0.81,0.82,0.91,0.81,0.79,0.76
Ireland,0.82,0.84,0.82,0.83,0.85,0.93,0.84,0.74,0.74
Netherlands,0.82,0.83,0.87,0.8,0.82,0.84,0.83,0.82,0.75
Australia,0.8,0.81,0.83,0.81,0.79,0.87,0.81,0.74,0.72
Austria,0.79,0.82,0.8,0.68,0.83,0.91,0.8,0.73,0.78
Canada,0.79,0.82,0.82,0.79,0.82,0.9,0.81,0.67,0.72
Belgium,0.78,0.81,0.79,0.77,0.84,0.82,0.79,0.73,0.7
Japan,0.78,0.72,0.82,0.71,0.78,0.93,0.79,0.76,0.76
Singapore,0.78,0.68,0.93,0.61,0.67,0.94,0.86,0.81,0.76
United Kingdom,0.78,0.82,0.83,0.8,0.8,0.84,0.78,0.7,0.7
Lithuania,0.77,0.76,0.75,0.75,0.79,0.9,0.76,0.77,0.7
Czechia,0.74,0.74,0.69,0.71,0.78,0.89,0.7,0.69,0.7
South Korea,0.74,0.71,0.67,0.73,0.75,0.85,0.75,0.76,0.72
Latvia,0.73,0.7,0.69,0.73,0.77,0.86,0.72,0.71,0.68
France,0.72,0.72,0.75,0.75,0.73,0.79,0.74,0.67,0.64
Hong Kong,0.72,0.55,0.84,0.68,0.57,0.92,0.79,0.7,0.68
Uruguay,0.72,0.76,0.74,0.73,0.79,0.7,0.72,0.71,0.59
Spain,0.71,0.69,0.73,0.69,0.78,0.82,0.68,0.65,0.67
Costa Rica,0.68,0.75,0.64,0.69,0.77,0.7,0.68,0.61,0.57
Slovenia,0.68,0.64,0.64,0.66,0.76,0.89,0.65,0.66,0.56
United States,0.68,0.63,0.72,0.72,0.65,0.83,0.7,0.62,0.58
Cyprus,0.67,0.67,0.65,0.6,0.73,0.8,0.65,0.62,0.67
Malta,0.67,0.61,0.64,0.63,0.74,0.91,0.58,0.6,0.63
Portugal,0.67,0.75,0.71,0.61,0.74,0.78,0.6,0.63,0.57
Barbados,0.66,0.65,0.7,0.56,0.74,0.8,0.64,0.61,0.58
Chile,0.66,0.71,0.68,0.69,0.73,0.67,0.62,0.6,0.54
Italy,0.66,0.7,0.65,0.64,0.72,0.75,0.61,0.56,0.63
Poland,0.66,0.62,0.71,0.66,0.64,0.85,0.64,0.6,0.58
Antigua and Barbuda,0.64,0.62,0.63,0.52,0.71,0.79,0.62,0.68,0.53
Slovak Republic,0.64,0.62,0.52,0.68,0.7,0.9,0.61,0.54,0.58
United Arab Emirates,0.64,0.59,0.78,0.35,0.44,0.91,0.7,0.67,0.68
Rwanda,0.63,0.61,0.69,0.56,0.53,0.85,0.63,0.65,0.56
St. Kitts and Nevis,0.63,0.62,0.64,0.46,0.69,0.76,0.61,0.69,0.59
Qatar,0.62,0.59,0.68,0.42,0.43,0.93,0.7,0.61,0.58
St. Lucia,0.62,0.6,0.63,0.5,0.67,0.73,0.6,0.64,0.55
St. Vincent and the Grenadines,0.62,0.57,0.68,0.48,0.69,0.74,0.54,0.63,0.59
Croatia,0.61,0.57,0.56,0.6,0.68,0.84,0.56,0.56,0.5
Namibia,0.61,0.65,0.52,0.58,0.64,0.75,0.57,0.61,0.54
Romania,0.61,0.58,0.53,0.62,0.66,0.83,0.56,0.61,0.52
Botswana,0.6,0.62,0.58,0.48,0.59,0.72,0.59,0.61,0.58
Greece,0.6,0.63,0.56,0.59,0.63,0.72,0.56,0.58,0.5
Grenada,0.6,0.58,0.65,0.46,0.63,0.78,0.54,0.6,0.54
Mauritius,0.6,0.58,0.58,0.52,0.63,0.75,0.62,0.61,0.54
Bahamas,0.58,0.58,0.62,0.48,0.63,0.72,0.51,0.56,0.57
Dominican Republic,0.58,0.52,0.61,0.49,0.63,0.71,0.53,0.56,0.56
Georgia,0.58,0.49,0.65,0.57,0.57,0.78,0.57,0.52,0.5
Kuwait,0.58,0.52,0.68,0.42,0.44,0.88,0.65,0.57,0.46
Jamaica,0.57,0.63,0.54,0.55,0.64,0.62,0.54,0.56,0.48
Malaysia,0.57,0.56,0.57,0.41,0.5,0.78,0.56,0.62,0.56
